EFF_DATE,NAV_ID,NAV_TYPE,STATE_CODE,CITY,COUNTRY_CODE,NAME,STATE_NAME,REGION_CODE,LAT_HEMIS,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DECIMAL,LONG_HEMIS,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DECIMAL,ELEV,MAG_VARN,MAG_VARN_HEMIS,MAG_VARN_YEAR,ALT_CODE
2026-01-22,MIJ,TACAN,UT,DUGWAY TOOELE,US,MICHAEL,UTAH,ANM,N,40,11,30.12,40.1917,W,112,55,20.11,-112.92225277,4347.5,13,E,2010,NA
2026-01-22,MIP,VORTAC,PA,MILTON,US,MILTON,PENNSYLVANIA,AEA,N,41,1,24.2109,41.02339191,W,76,39,55.0438,-76.66528994,1000,9,W,1965,L
2026-01-22,MJ,NDB,NH,MANCHESTER,US,FITZY,NEW HAMPSHIRE,ANE,N,42,51,51.0067,42.86416852,W,71,31,43.8261,-71.52884058,234.4,15,W,2020,NA
2026-01-22,MJF,TACAN,TX,GREENVILLE,US,ARVILLA,TEXAS,ASW,N,33,3,58.5605,33.0662668,W,96,3,41.0155,-96.06139319,543.3,5,E,1995,NA
2026-01-22,MKC,VOT,MO,KANSAS CITY,US,KANSAS CITY DOWNTOWN,MISSOURI,ACE,N,39,7,23.51,39.12319722,W,94,35,53.04,-94.59806666,NA,NA,NA,NA,NA
2026-01-22,MKG,TACAN,MI,MUSKEGON,US,MUSKEGON,MICHIGAN,AGL,N,43,10,9.3101,43.1692528,W,86,2,21.7608,-86.039378,659.1,1,W,1965,NA
2026-01-22,MKK,VORTAC,HI,KAUNAKAKAI,US,MOLOKAI,HAWAII,AWP,N,21,8,17.2,21.13811111,W,157,10,2.7,-157.16741666,1421,11,E,1990,H
2026-01-22,MKL,VOR/DME,TN,JACKSON,US,MC KELLAR,TENNESSEE,ASO,N,35,36,12.8354,35.60356538,W,88,54,37.5457,-88.91042936,410.3,1,W,2010,VL
2026-01-22,MKT,DME,MN,MANKATO,US,MANKATO,MINNESOTA,AGL,N,44,13,11.6641,44.21990669,W,93,54,44.4827,-93.9123563,1025.5,NA,NA,NA,NA
2026-01-22,ML,NDB,LA,MONROE,US,SABAR,LOUISIANA,ASW,N,32,27,14.6224,32.45406177,W,92,6,15.632,-92.10434222,75.4,3,E,1995,NA
2026-01-22,MLB,VOR/DME,FL,MELBOURNE,US,MELBOURNE,FLORIDA,ASO,N,28,6,19.016,28.10528222,W,80,38,7.224,-80.63534,30,7,W,2015,VL
2026-01-22,MLC,TACAN,OK,MC ALESTER,US,MC ALESTER,OKLAHOMA,ASW,N,34,50,57.9873,34.84944091,W,95,46,56.4392,-95.78234422,781.9,8,E,1965,NA
2026-01-22,MLD,VOR/DME,ID,MALAD CITY,US,MALAD CITY,IDAHO,ANM,N,42,11,59.641,42.19990027,W,112,27,4.446,-112.451235,7330,17,E,1965,VH
2026-01-22,MLF,VORTAC,UT,MILFORD,US,MILFORD,UTAH,ANM,N,38,21,37.28,38.36035555,W,113,0,47.638,-113.01323277,4980,16,E,1965,VH
2026-01-22,MLP,VOR/DME,MT,MULLAN PASS,US,MULLAN PASS,MONTANA,ANM,N,47,27,24.851,47.45690305,W,115,38,45.762,-115.646045,6100,15,E,2010,VH
2026-01-22,MLS,VOR/DME,MT,MILES CITY,US,MILES CITY,MONTANA,ANM,N,46,22,56.0157,46.38222658,W,105,57,12.7212,-105.95353366,2666.4,9,E,2020,VH
